run;type;module;name;attrname;attrvalue;value
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;configname;SlotDurationBMac_short;
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;datetime;20230507-13:59:52;
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;datetimef;20230507-135952;
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;experiment;SlotDurationBMac_short;
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;inifile;omnetpp.ini;
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;iterationvars;$N=35, $slotDuration=0.28;
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;iterationvarsd;N=35/slotDuration=0.28;
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;iterationvarsf;N=35,slotDuration=0.28-;
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;measurement;$N=35, $slotDuration=0.28;
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;network;SimMAC;
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;processid;10004;
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;repetition;0;
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;replication;#0;
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;resultdir;results/SlotDurationBMAC/short;
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;runnumber;207;
SlotDurationBMac_short-207-20230507-13:59:52-10004;runattr;;;seedset;207;
SlotDurationBMac_short-207-20230507-13:59:52-10004;itervar;;;N;35;
SlotDurationBMac_short-207-20230507-13:59:52-10004;itervar;;;slotDuration;0.28;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;result-dir;results/SlotDurationBMAC/short;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.sensorsTotalNumber;35;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.vector-recording;false;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.wlan[*].mac.typename;BMac;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.wlan[*].mac.slotDuration;0.28s;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;network;SimMAC;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.distFromSensorToSink;50m;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.distFromServerToSink;30m;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;sim-time-limit;100s;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.enableVisualisation;false;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.vector-recording;false;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.scalar-recording;false;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.param-recording;false;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.arp.typename;GlobalArp;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.netmaskRoutes;"""""";
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.gateway.forwarding;true;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.maxTransmissionDuration;100ms;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;*.configurator.addStaticRoutes;false;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.mobility.constraintAreaMaxY;400m;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.mobility.constraintAreaMinY;0m;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.mobility.constraintAreaMaxZ;0m;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.mobility.constraintAreaMinZ;0m;
SlotDurationBMac_short-207-20230507-13:59:52-10004;config;;;**.mobility.initFromDisplayString;false;
