run;type;module;name;attrname;attrvalue;value
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;configname;SlotDurationBMac_short;
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;datetime;20230507-13:29:46;
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;datetimef;20230507-132946;
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;experiment;SlotDurationBMac_short;
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;inifile;omnetpp.ini;
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;iterationvars;$N=20, $slotDuration=0.02;
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;iterationvarsd;N=20/slotDuration=0.02;
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;iterationvarsf;N=20,slotDuration=0.02-;
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;measurement;$N=20, $slotDuration=0.02;
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;network;SimMAC;
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;processid;15792;
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;repetition;0;
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;replication;#0;
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;resultdir;results/SlotDurationBMAC/short;
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;runnumber;91;
SlotDurationBMac_short-91-20230507-13:29:46-15792;runattr;;;seedset;91;
SlotDurationBMac_short-91-20230507-13:29:46-15792;itervar;;;N;20;
SlotDurationBMac_short-91-20230507-13:29:46-15792;itervar;;;slotDuration;0.02;
SlotDurationBMac_short-91-20230507-13:29:46-15792;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationBMac_short-91-20230507-13:29:46-15792;config;;;result-dir;results/SlotDurationBMAC/short;
SlotDurationBMac_short-91-20230507-13:29:46-15792;config;;;*.sensorsTotalNumber;20;
SlotDurationBMac_short-91-20230507-13:29:46-15792;config;;;**.vector-recording;false;
SlotDurationBMac_short-91-20230507-13:29:46-15792;config;;;**.wlan[*].mac.typename;BMac;
SlotDurationBMac_short-91-20230507-13:29:46-15792;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationBMac_short-91-20230507-13:29:46-15792;config;;;**.wlan[*].mac.slotDuration;0.02s;
SlotDurationBMac_short-91-20230507-13:29:46-15792;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationBMac_short-91-20230507-13:29:46-15792;config;;;network;SimMAC;
SlotDurationBMac_short-91-20230507-13:29:46-15792;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
