run;type;module;name;attrname;attrvalue;value
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;configname;SlotDurationBMac_short;
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;datetime;20230507-13:27:17;
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;datetimef;20230507-132717;
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;experiment;SlotDurationBMac_short;
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;inifile;omnetpp.ini;
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;iterationvars;$N=15, $slotDuration=0.03;
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;iterationvarsd;N=15/slotDuration=0.03;
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;iterationvarsf;N=15,slotDuration=0.03-;
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;measurement;$N=15, $slotDuration=0.03;
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;network;SimMAC;
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;processid;10208;
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;repetition;0;
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;replication;#0;
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;resultdir;results/SlotDurationBMAC/short;
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;runnumber;62;
SlotDurationBMac_short-62-20230507-13:27:17-10208;runattr;;;seedset;62;
SlotDurationBMac_short-62-20230507-13:27:17-10208;itervar;;;N;15;
SlotDurationBMac_short-62-20230507-13:27:17-10208;itervar;;;slotDuration;0.03;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;result-dir;results/SlotDurationBMAC/short;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.sensorsTotalNumber;15;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.vector-recording;false;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.wlan[*].mac.typename;BMac;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.wlan[*].mac.slotDuration;0.03s;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;network;SimMAC;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.distFromSensorToSink;50m;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.distFromServerToSink;30m;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;sim-time-limit;100s;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.enableVisualisation;false;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.vector-recording;false;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.scalar-recording;false;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.param-recording;false;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.arp.typename;GlobalArp;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.netmaskRoutes;"""""";
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.gateway.forwarding;true;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.maxTransmissionDuration;100ms;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;*.configurator.addStaticRoutes;false;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.mobility.constraintAreaMaxY;400m;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.mobility.constraintAreaMinY;0m;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.mobility.constraintAreaMaxZ;0m;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.mobility.constraintAreaMinZ;0m;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.mobility.initFromDisplayString;false;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.radio.centerFrequency;2.45GHz;
SlotDurationBMac_short-62-20230507-13:27:17-10208;config;;;**.radio.bandwidth;2.8MHz;
