throughput:vector Sim802154.server.app[0] ($N=9, #0 - Sim802154_app1-4-20230520-19:24:03-2964);;packetReceived:vector(packetBytes) Sim802154.server.udp ($N=9, #0 - Sim802154_app1-4-20230520-19:24:03-2964);;outgoingDataRate:vector Sim802154.gateway.eth[0].queue ($N=9, #0 - Sim802154_app1-4-20230520-19:24:03-2964);;endToEndDelay:vector Sim802154.server.app[0] ($N=9, #0 - Sim802154_app1-4-20230520-19:24:03-2964);
10.102889023916;-3.866406075417000195;0.155828844046;18;10.102883213916;-14.11739622370399867;0.155828844046;0.003301976782
10.202889023916;2000;0.194004778658;33;10.202883213916;5680;0.194004778658;0.004422536781999998
10.302889023916;3200;0.258518675621;48;10.302883213916;6880;0.258518675621;0.004263736782
10.402889023916;2800;0.59060372183;18;10.402883213916;10160;0.59060372183;0.004261976782
10.502889023916;0;0.912541810145;18;10.502883213916;0;0.912541810145;0.002341976781999999
10.602889023916;800;0.943241303694;33;10.602883213916;4480;0.943241303694;0.004102536781999999
10.702889023916;800;0.970243302938;18;10.702883213916;4480;0.970243302938;0.002661976781999999
10.802889023916;0;1.193684778658;33;10.802883213916;0;1.193684778658;0.004102536781999999
10.902889023916;0;1.201704488578;48;10.902883213916;0;1.201704488578;0.002983736782
11.002889023916;4800;1.250185437892;18;11.002883213916;15840;1.250185437892;0.002661976781999999
11.102889023916;0;1.291421992977;18;11.102883213916;0;1.291421992977;0.002021976781999999
11.202889023916;2800;1.735838629977;18;11.202883213916;10160;1.735838629977;0.003621976782
11.302889023916;4000;1.776843146416;18;11.302883213916;11360;1.776843146416;0.003941976781999999
11.402889023916;2800;1.939095647419;33;11.402883213916;10160;1.939095647419;0.003782536781999999
11.502889023916;0;1.942281303694;33;11.502883213916;0;1.942281303694;0.003142536781999999
11.602889023916;0;1.986828256138;18;11.602883213916;0;1.986828256138;0.002661976781999999
11.702889023916;1600;1.996876008043;18;11.702883213916;8960;1.996876008043;0.004261976782
11.802889023916;0;2.192404778658;33;11.802883213916;0;2.192404778658;0.002822536781999999
11.902889023916;0;2.309041413163;18;11.902883213916;0;2.309041413163;0.002341976781999999
12.002889023916;4800;2.312281567422;33;12.002883213916;15840;2.312281567422;0.003462536781999999
12.102889023916;800;2.339150210561;48;12.102883213916;4480;2.339150210561;0.004263736782
12.202889023916;2000;2.457647950639;18;12.202883213916;5680;2.457647950639;0.003941976781999999
12.302889023916;1600;2.543099429137;18;12.302883213916;8960;2.543099429137;0.003941976781999999
12.402889023916;5200;2.712184128913;18;12.402883213916;12560;2.712184128913;0.004261976782
12.502889023916;0;2.863548061885;18;12.502883213916;0;2.863548061885;0.003941976781999999
12.602889023916;800;2.939415647419;33;12.602883213916;4480;2.939415647419;0.004102536781999999
12.702889023916;0;2.943881303694;33;12.702883213916;0;2.943881303694;0.004742536781999999
12.802889023916;800;3.024794659044;18;12.802883213916;4480;3.024794659044;0.004261976782
12.902889023916;800;3.193044778658;33;12.902883213916;4480;3.193044778658;0.003462536781999999
13.002889023916;4000;3.250722896708;18;13.002883213916;11360;3.250722896708;0.003941976781999999
13.102889023916;1600;3.312601567422;33;13.102883213916;8960;3.312601567422;0.003782536781999999
13.202889023916;2000;3.329016772511;18;13.202883213916;5680;3.329016772511;0.002981976781999999
13.302889023916;800;3.525226792587;18;13.302883213916;4480;3.525226792587;0.002341976781999999
13.402889023916;2000;3.543238421034;18;13.402883213916;5680;3.543238421034;0.002981976781999999
13.502889023916;800;3.835682869148;18;13.502883213916;4480;3.835682869148;0.003941976781999999
13.602889023916;0;3.937815647419;33;13.602883213916;0;3.937815647419;0.002502536781999999
13.702889023916;800;3.942921303694;33;13.702883213916;4480;3.942921303694;0.003782536781999999
13.802889023916;800;3.985549902093;18;13.802883213916;4480;3.985549902093;0.002021976781999999
13.902889023916;0;4.18310110539;18;13.902883213916;0;4.18310110539;0.002021976781999999
14.002889023916;4000;4.194004778658;33;14.002883213916;11360;4.194004778658;0.004422536781999998
14.102889023916;800;4.281851948481;18;14.102883213916;4480;4.281851948481;0.003621976782
14.202889023916;2800;4.313241567422;33;14.202883213916;10160;4.313241567422;0.004422536781999998
14.302889023916;0;4.509093997398;18;14.302883213916;0;4.509093997398;0.002981976781999999
14.402889023916;2000;4.753544776159;18;14.402883213916;5680;4.753544776159;0.003941976781999999
14.502889023916;800;4.937815647419;33;14.502883213916;4480;4.937815647419;0.002502536781999999
14.602889023916;0;4.941641303694;33;14.602883213916;0;4.941641303694;0.002502536781999999
14.702889023916;800;4.963367092373;18;14.702883213916;4480;4.963367092373;0.003621976782
14.802889023916;800;5.163239083945;18;14.802883213916;4480;5.163239083945;0.003941976781999999
14.902889023916;800;5.192404778658;33;14.902883213916;4480;5.192404778658;0.002822536781999999
15.002889023916;4000;5.236683205503;18;15.002883213916;11360;5.236683205503;0.003301976782
15.102889023916;800;5.259158675621;48;15.102883213916;4480;5.259158675621;0.004903736782
15.202889023916;2000;5.313561567422;33;15.202883213916;5680;5.313561567422;0.004742536781999999
15.302889023916;4000;5.427188170616;18;15.302883213916;11360;5.427188170616;0.002661976781999999
15.402889023916;2800;5.618072258537;18;15.402883213916;10160;5.618072258537;0.003621976782
15.502889023916;800;5.806350264351;18;15.502883213916;4480;5.806350264351;0.004261976782
15.602889023916;0;5.925567363437;18;15.602883213916;0;5.925567363437;0.002021976781999999
15.702889023916;800;5.939095647419;33;15.702883213916;4480;5.939095647419;0.003782536781999999
15.802889023916;0;5.944697303694;33;15.802883213916;0;5.944697303694;0.005558536781999998
