run;type;module;name;attrname;attrvalue;value
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;configname;SlotDurationBMac;
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;datetime;20230506-23:30:53;
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;datetimef;20230506-233053;
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;experiment;SlotDurationBMac;
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;inifile;omnetpp.ini;
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;iterationvars;$N=40, $slotDuration=0.1;
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;iterationvarsd;N=40/slotDuration=0.1;
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;iterationvarsf;N=40,slotDuration=0.1-;
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;measurement;$N=40, $slotDuration=0.1;
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;network;SimMAC;
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;processid;10300;
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;repetition;0;
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;replication;#0;
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;resultdir;results/SlotDurationBMAC;
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;runnumber;141;
SlotDurationBMac-141-20230506-23:30:53-10300;runattr;;;seedset;141;
SlotDurationBMac-141-20230506-23:30:53-10300;itervar;;;N;40;
SlotDurationBMac-141-20230506-23:30:53-10300;itervar;;;slotDuration;0.1;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;result-dir;results/SlotDurationBMAC;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.sensorsTotalNumber;40;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.vector-recording;false;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.wlan[*].mac.typename;BMac;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.wlan[*].mac.slotDuration;0.1s;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;network;SimMAC;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.distFromSensorToSink;50m;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.distFromServerToSink;30m;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;sim-time-limit;100s;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.enableVisualisation;false;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.vector-recording;false;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.scalar-recording;false;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.param-recording;false;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.arp.typename;GlobalArp;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.netmaskRoutes;"""""";
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.gateway.forwarding;true;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.maxTransmissionDuration;100ms;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;*.configurator.addStaticRoutes;false;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.mobility.constraintAreaMaxY;400m;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.mobility.constraintAreaMinY;0m;
SlotDurationBMac-141-20230506-23:30:53-10300;config;;;**.mobility.constraintAreaMaxZ;0m;
