run;type;module;name;attrname;attrvalue;value
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;configname;SlotDurationBMac;
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;datetime;20230506-23:18:58;
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;datetimef;20230506-231858;
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;experiment;SlotDurationBMac;
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;inifile;omnetpp.ini;
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;iterationvars;$N=35, $slotDuration=0.05;
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;iterationvarsd;N=35/slotDuration=0.05;
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;iterationvarsf;N=35,slotDuration=0.05-;
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;measurement;$N=35, $slotDuration=0.05;
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;network;SimMAC;
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;processid;17372;
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;repetition;0;
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;replication;#0;
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;resultdir;results/SlotDurationBMAC;
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;runnumber;120;
SlotDurationBMac-120-20230506-23:18:58-17372;runattr;;;seedset;120;
SlotDurationBMac-120-20230506-23:18:58-17372;itervar;;;N;35;
SlotDurationBMac-120-20230506-23:18:58-17372;itervar;;;slotDuration;0.05;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;result-dir;results/SlotDurationBMAC;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.sensorsTotalNumber;35;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.vector-recording;false;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.wlan[*].mac.typename;BMac;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.wlan[*].mac.slotDuration;0.05s;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;network;SimMAC;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.distFromSensorToSink;50m;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.distFromServerToSink;30m;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;sim-time-limit;100s;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.enableVisualisation;false;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.vector-recording;false;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.scalar-recording;false;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.param-recording;false;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.arp.typename;GlobalArp;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.netmaskRoutes;"""""";
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.gateway.forwarding;true;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.maxTransmissionDuration;100ms;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.configurator.addStaticRoutes;false;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.mobility.constraintAreaMaxY;400m;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.mobility.constraintAreaMinY;0m;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.mobility.constraintAreaMaxZ;0m;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.mobility.constraintAreaMinZ;0m;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.mobility.initFromDisplayString;false;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.radio.centerFrequency;2.45GHz;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.radio.bandwidth;2.8MHz;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.radio.transmitter.bitrate;19200 bps;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.radio.transmitter.headerLength;8b;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.radio.transmitter.preambleDuration;0.0001s;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.radio.transmitter.power;2.24mW;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.radio.receiver.energyDetection;-90dBm;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.radio.receiver.sensitivity;-100dBm;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;**.radio.receiver.snirThreshold;-8dB;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.radioMedium.backgroundNoise.power;-110dBm;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.visualizer.*.routingTableVisualizer.displayRoutingTables;false;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.visualizer.*.routingTableVisualizer.displayRoutesIndividually;false;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.visualizer.*.routingTableVisualizer.lineShift;0;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.visualizer.*.routingTableVisualizer.displayLabels;false;
SlotDurationBMac-120-20230506-23:18:58-17372;config;;;*.visualizer.*.infoVisualizer.modules;"""*.server.app[0]""";
