run;type;module;name;attrname;attrvalue;value
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;configname;SlotDurationBMac;
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;datetime;20230506-23:05:25;
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;datetimef;20230506-230525;
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;experiment;SlotDurationBMac;
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;inifile;omnetpp.ini;
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;iterationvars;$N=25, $slotDuration=0.05;
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;iterationvarsd;N=25/slotDuration=0.05;
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;iterationvarsf;N=25,slotDuration=0.05-;
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;measurement;$N=25, $slotDuration=0.05;
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;network;SimMAC;
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;processid;12032;
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;repetition;0;
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;replication;#0;
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;resultdir;results/SlotDurationBMAC;
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;runnumber;80;
SlotDurationBMac-80-20230506-23:05:25-12032;runattr;;;seedset;80;
SlotDurationBMac-80-20230506-23:05:25-12032;itervar;;;N;25;
SlotDurationBMac-80-20230506-23:05:25-12032;itervar;;;slotDuration;0.05;
SlotDurationBMac-80-20230506-23:05:25-12032;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationBMac-80-20230506-23:05:25-12032;config;;;result-dir;results/SlotDurationBMAC;
SlotDurationBMac-80-20230506-23:05:25-12032;config;;;*.sensorsTotalNumber;25;
SlotDurationBMac-80-20230506-23:05:25-12032;config;;;**.vector-recording;false;
