run;type;module;name;attrname;attrvalue;value
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;configname;SlotDurationBMac;
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;datetime;20230507-00:06:58;
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;datetimef;20230507-000658;
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;experiment;SlotDurationBMac;
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;inifile;omnetpp.ini;
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;iterationvars;$N=50, $slotDuration=0.05;
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;iterationvarsd;N=50/slotDuration=0.05;
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;iterationvarsf;N=50,slotDuration=0.05-;
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;measurement;$N=50, $slotDuration=0.05;
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;network;SimMAC;
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;processid;12824;
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;repetition;0;
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;replication;#0;
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;resultdir;results/SlotDurationBMAC;
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;runnumber;180;
SlotDurationBMac-180-20230507-00:06:58-12824;runattr;;;seedset;180;
SlotDurationBMac-180-20230507-00:06:58-12824;itervar;;;N;50;
SlotDurationBMac-180-20230507-00:06:58-12824;itervar;;;slotDuration;0.05;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;result-dir;results/SlotDurationBMAC;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorsTotalNumber;50;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.vector-recording;false;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.wlan[*].mac.typename;BMac;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.wlan[*].mac.slotDuration;0.05s;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;network;SimMAC;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.distFromSensorToSink;50m;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.distFromServerToSink;30m;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;sim-time-limit;100s;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.enableVisualisation;false;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.vector-recording;false;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.scalar-recording;false;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.param-recording;false;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.arp.typename;GlobalArp;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.netmaskRoutes;"""""";
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.gateway.forwarding;true;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.maxTransmissionDuration;100ms;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.configurator.addStaticRoutes;false;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.mobility.constraintAreaMaxY;400m;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.mobility.constraintAreaMinY;0m;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.mobility.constraintAreaMaxZ;0m;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.mobility.constraintAreaMinZ;0m;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.mobility.initFromDisplayString;false;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.radio.centerFrequency;2.45GHz;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.radio.bandwidth;2.8MHz;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.radio.transmitter.bitrate;19200 bps;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.radio.transmitter.headerLength;8b;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.radio.transmitter.preambleDuration;0.0001s;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.radio.transmitter.power;2.24mW;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.radio.receiver.energyDetection;-90dBm;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.radio.receiver.sensitivity;-100dBm;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;**.radio.receiver.snirThreshold;-8dB;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.radioMedium.backgroundNoise.power;-110dBm;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.visualizer.*.routingTableVisualizer.displayRoutingTables;false;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.visualizer.*.routingTableVisualizer.displayRoutesIndividually;false;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.visualizer.*.routingTableVisualizer.lineShift;0;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.visualizer.*.routingTableVisualizer.displayLabels;false;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.visualizer.*.infoVisualizer.modules;"""*.server.app[0]""";
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.visualizer.*.infoVisualizer.format;"""%t""";
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType1*.numApps;1;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType1*.app[*].typename;UdpBasicApp;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType1*.app[*].destAddresses;"""server""";
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType1*.app[*].destPort;1000;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType1*.app[*].sendInterval;1s;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType1*.app[*].startTime;exponential(1s);
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType1*.app[*].messageLength;25Byte;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType1*.app[*].packetName;"""Type1SensorData""";
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType2*.numApps;1;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType2*.app[*].typename;UdpBasicApp;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType2*.app[*].destAddresses;"""server""";
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType2*.app[*].destPort;1000;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType2*.app[*].sendInterval;uniform(0.2s,0.5s);
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType2*.app[*].startTime;exponential(1s);
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType2*.app[*].messageLength;10Byte;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType2*.app[*].packetName;"""Type2SensorData""";
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType3*.numApps;1;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType3*.app[*].typename;UdpBasicApp;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType3*.app[*].destAddresses;"""server""";
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType3*.app[*].destPort;1000;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType3*.app[*].sendInterval;5s;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType3*.app[*].startTime;exponential(1s);
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType3*.app[*].messageLength;40Byte;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.sensorType3*.app[*].packetName;"""Type3SensorData""";
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.server.numApps;1;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.server.app[0].typename;UdpSink;
SlotDurationBMac-180-20230507-00:06:58-12824;config;;;*.server.app[0].localPort;1000;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;configname;SlotDurationBMac;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;datetime;20230507-00:25:26;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;datetimef;20230507-002526;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;experiment;SlotDurationBMac;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;inifile;omnetpp.ini;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;iterationvars;$N=50, $slotDuration=0.85;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;iterationvarsd;N=50/slotDuration=0.85;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;iterationvarsf;N=50,slotDuration=0.85-;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;measurement;$N=50, $slotDuration=0.85;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;network;SimMAC;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;processid;4976;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;repetition;0;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;replication;#0;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;resultdir;results/SlotDurationBMAC;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;runnumber;196;
SlotDurationBMac-196-20230507-00:25:26-4976;runattr;;;seedset;196;
SlotDurationBMac-196-20230507-00:25:26-4976;itervar;;;N;50;
