run;type;module;name;attrname;attrvalue;value
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;configname;SlotDurationBMac;
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;datetime;20230506-22:58:21;
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;datetimef;20230506-225821;
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;experiment;SlotDurationBMac;
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;inifile;omnetpp.ini;
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;iterationvars;$N=5, $slotDuration=0.05;
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;iterationvarsd;N=5/slotDuration=0.05;
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;iterationvarsf;N=5,slotDuration=0.05-;
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;measurement;$N=5, $slotDuration=0.05;
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;network;SimMAC;
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;processid;9404;
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;repetition;0;
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;replication;#0;
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;resultdir;results/SlotDurationBMAC;
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;runnumber;0;
SlotDurationBMac-0-20230506-22:58:21-9404;runattr;;;seedset;0;
SlotDurationBMac-0-20230506-22:58:21-9404;itervar;;;N;5;
SlotDurationBMac-0-20230506-22:58:21-9404;itervar;;;slotDuration;0.05;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;result-dir;results/SlotDurationBMAC;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.sensorsTotalNumber;5;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.vector-recording;false;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.wlan[*].mac.typename;BMac;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.wlan[*].mac.slotDuration;0.05s;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;network;SimMAC;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.distFromSensorToSink;50m;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.distFromServerToSink;30m;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;sim-time-limit;100s;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.enableVisualisation;false;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.vector-recording;false;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.scalar-recording;false;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.param-recording;false;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.arp.typename;GlobalArp;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.netmaskRoutes;"""""";
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.gateway.forwarding;true;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.maxTransmissionDuration;100ms;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.configurator.addStaticRoutes;false;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.mobility.constraintAreaMaxY;400m;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.mobility.constraintAreaMinY;0m;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.mobility.constraintAreaMaxZ;0m;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.mobility.constraintAreaMinZ;0m;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.mobility.initFromDisplayString;false;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.radio.centerFrequency;2.45GHz;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.radio.bandwidth;2.8MHz;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.radio.transmitter.bitrate;19200 bps;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.radio.transmitter.headerLength;8b;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.radio.transmitter.preambleDuration;0.0001s;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.radio.transmitter.power;2.24mW;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.radio.receiver.energyDetection;-90dBm;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.radio.receiver.sensitivity;-100dBm;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;**.radio.receiver.snirThreshold;-8dB;
SlotDurationBMac-0-20230506-22:58:21-9404;config;;;*.radioMedium.backgroundNoise.power;-110dBm;
