endToEndDelay:vector Sim802154.server.app[0] ($N=13, #0 - Sim802154_app1-8-20230526-09:07:21-14264);;outgoingDataRate:vector Sim802154.gateway.eth[0].queue ($N=13, #0 - Sim802154_app1-8-20230526-09:07:21-14264);;packetReceived:vector(packetBytes) Sim802154.server.udp ($N=13, #0 - Sim802154_app1-8-20230526-09:07:21-14264);;throughput:vector Sim802154.server.app[0] ($N=13, #0 - Sim802154_app1-8-20230526-09:07:21-14264);
0.015599201721;0.004422536781999998;0.1;5680;0.015599201721;33;0.1;2000
0.161422392451;0.002983736782;0.2;6880;0.161422392451;48;0.2;3200
0.277162248325;0.003462536781999999;0.3;5680;0.277162248325;33;0.3;2000
0.478141458628;0.004102536781999999;0.4;0;0.478141458628;33;0.4;0
0.517021281812;0.002981976781999999;0.5;5680;0.517021281812;18;0.5;2000
0.521929631148;0.006631736782;0.6;17040;0.521929631148;48;0.6;6000
0.553211066897;0.004422536781999998;0.7;0;0.553211066897;33;0.7;0
0.817793495834;0.003621976782;0.8;0;0.817793495834;18;0.8;0
0.949658389447;0.002822536781999999;0.9;4480;0.949658389447;33;0.9;800
1.015919201721;0.004742536781999999;1;5680;1.015919201721;33;1;2000
1.055510209389;0.002981976781999999;1.1;10160;1.055510209389;18;1.1;2800
1.213982605551;0.004903736782;1.2;0;1.213982605551;48;1.2;0
1.277482248325;0.003782536781999999;1.3;12560;1.277482248325;33;1.3;5200
1.4138471277;0.002021976781999999;1.4;0;1.4138471277;18;1.4;0
1.456965105185;0.004261976782;1.5;14640;1.456965105185;18;1.5;3600
1.477181458628;0.003142536781999999;1.6;5680;1.477181458628;33;1.6;2000
1.553531066897;0.004742536781999999;1.7;5680;1.553531066897;33;1.7;2000
1.698472186393;0.003142536781999999;1.8;4480;1.698472186393;33;1.8;800
1.756756586251;0.004261976782;1.9;0;1.756756586251;18;1.9;0
1.90927196008;0.002021976781999999;2;10160;1.90927196008;18;2;2800
1.950618389447;0.003782536781999999;2.1;14640;1.950618389447;33;2.1;3600
2.014639201721;0.003462536781999999;2.2;4480;2.014639201721;33;2.2;800
2.051383525352;0.002981976781999999;2.3;10160;2.051383525352;18;2.3;2800
2.060359322153;0.003941976781999999;2.4;8960;2.060359322153;18;2.4;1600
2.14565505892;0.004261976782;2.5;5680;2.14565505892;18;2.5;2000
2.271350564289;0.002341976781999999;2.6;5680;2.271350564289;18;2.6;2000
2.278442248325;0.004742536781999999;2.7;21520;2.278442248325;33;2.7;6800
2.300482862889;0.002661976781999999;2.8;4480;2.300482862889;18;2.8;800
2.353337507311;0.002341976781999999;2.9;4480;2.353337507311;18;2.9;800
2.478461458628;0.004422536781999998;3;5680;2.478461458628;33;3;2000
2.552251066897;0.003462536781999999;3.1;10160;2.552251066897;33;3.1;2800
2.607581170125;0.002341976781999999;3.2;0;2.607581170125;18;3.2;0
2.612615786949;0.002983736782;3.3;14640;2.612615786949;48;3.3;3600
2.675352225984;0.002341976781999999;3.4;0;2.675352225984;18;3.4;0
2.699112186393;0.003782536781999999;3.5;14640;2.699112186393;33;3.5;3600
2.743992519979;0.003301976782;3.6;10160;2.743992519979;18;3.6;2800
2.8740965092;0.004261976782;3.7;5680;2.8740965092;18;3.7;2000
2.949338389447;0.002502536781999999;3.8;0;2.949338389447;33;3.8;0
3.015919201721;0.004742536781999999;3.9;13440;3.015919201721;33;3.9;2400
3.092472542454;0.002661976781999999;4;5680;3.092472542454;18;4;2000
3.22273726571;0.002981976781999999;4.1;5680;3.22273726571;18;4.1;2000
3.225887831039;0.003301976782;4.2;4480;3.225887831039;18;4.2;800
3.278442248325;0.004742536781999999;4.3;14640;3.278442248325;33;4.3;3600
3.445646677892;0.002661976781999999;4.4;0;3.445646677892;18;4.4;0
3.449904753029;0.006949976781999999;4.5;10160;3.449904753029;18;4.5;2800
3.478141458628;0.004102536781999999;4.6;5680;3.478141458628;33;4.6;2000
3.552571066897;0.003782536781999999;4.7;14640;3.552571066897;33;4.7;3600
3.555144863916;0.003301976782;4.8;0;3.555144863916;18;4.8;0
3.697832186393;0.002502536781999999;4.9;4480;3.697832186393;33;4.9;800
3.804878273968;0.002981976781999999;5;10160;3.804878273968;18;5;2800
3.876783503288;0.003621976782;5.1;10160;3.876783503288;18;5.1;2800
3.881866551737;0.003941976781999999;5.2;11360;3.881866551737;18;5.2;4000
3.950298389447;0.003462536781999999;5.3;10160;3.950298389447;33;5.3;2800
4.014319201721;0.003142536781999999;5.4;0;4.014319201721;33;5.4;0
4.15338729344;0.003941976781999999;5.5;14640;4.15338729344;18;5.5;3600
4.229958177124;0.003621976782;5.6;12560;4.229958177124;18;5.6;5200
4.240311351005;0.003621976782;5.7;5680;4.240311351005;18;5.7;2000
4.277482248325;0.003782536781999999;5.8;4480;4.277482248325;33;5.8;800
4.442307748687;0.003301976782;5.9;4480;4.442307748687;18;5.9;800
4.478461458628;0.004422536781999998;6;14640;4.478461458628;33;6;3600
4.551291066897;0.002502536781999999;6.1;5680;4.551291066897;33;6.1;2000
4.621014189033;0.002021976781999999;6.2;0;4.621014189033;18;6.2;0
4.674676661224;0.003941976781999999;6.3;26000;4.674676661224;18;6.3;7600
4.699432186393;0.004102536781999999;6.4;0;4.699432186393;33;6.4;0
4.822915665877;0.002661976781999999;6.5;5680;4.822915665877;18;6.5;2000
4.951258389447;0.004422536781999998;6.6;10160;4.951258389447;33;6.6;2800
4.961241288941;0.004261976782;6.7;14640;4.961241288941;18;6.7;3600
5.009171813119;0.004261976782;6.8;0;5.009171813119;18;6.8;0
5.015599201721;0.004422536781999998;6.9;8960;5.015599201721;33;6.9;1600
5.111863226872;0.002021976781999999;7;10160;5.111863226872;18;7;2800
5.162382392451;0.003943736781999999;7.1;10160;5.162382392451;48;7.1;2800
5.278442248325;0.004742536781999999;7.2;8960;5.278442248325;33;7.2;1600
5.285709111601;0.003621976782;7.3;5680;5.285709111601;18;7.3;2000
5.402173117326;0.002981976781999999;7.4;0;5.402173117326;18;7.4;0
5.444786792734;0.003301976782;7.5;10160;5.444786792734;18;7.5;2800
5.476541458628;0.002502536781999999;7.6;14640;5.476541458628;33;7.6;3600
5.519561631148;0.004263736782;7.7;12560;5.519561631148;48;7.7;5200
5.551611066897;0.002822536781999999;7.8;0;5.551611066897;33;7.8;0
5.699432186393;0.004102536781999999;7.9;4480;5.699432186393;33;7.9;800
5.727954371442;0.002021976781999999;8;10160;5.727954371442;18;8;2800
5.805243439044;0.002661976781999999;8.1;10160;5.805243439044;18;8.1;2800
5.9382580936;0.003621976782;8.2;4480;5.9382580936;18;8.2;800
5.950298389447;0.003462536781999999;8.3;10160;5.950298389447;33;8.3;2800
5.975167523867;0.003941976781999999;8.4;4480;5.975167523867;18;8.4;800
6.014959201721;0.003782536781999999;8.5;10160;6.014959201721;33;8.5;2800
6.212382605551;0.003303736782;8.6;10160;6.212382605551;48;8.6;2800
6.268529420372;0.002661976781999999;8.7;5680;6.268529420372;18;8.7;2000
6.275836554543;0.008997976782;8.8;4480;6.275836554543;18;8.8;800
6.282090248325;0.008390536781999999;8.9;4480;6.282090248325;33;8.9;800
6.284836198603;0.005877976781999999;9;5680;6.284836198603;18;9;2000
6.477501458628;0.003462536781999999;9.1;14640;6.477501458628;33;9.1;3600
6.506470071613;0.003301976782;9.2;4480;6.506470071613;18;9.2;800
6.551611066897;0.002822536781999999;9.3;5680;6.551611066897;33;9.3;2000
6.65077054192;0.002021976781999999;9.4;0;6.65077054192;18;9.4;0
6.672332456481;0.002021976781999999;9.5;10160;6.672332456481;18;9.5;2800
6.699432186393;0.004102536781999999;9.6;14640;6.699432186393;33;9.6;3600
6.848462194641;0.002341976781999999;9.7;10160;6.848462194641;18;9.7;2800
6.866836526095;0.003941976781999999;9.8;0;6.866836526095;18;9.8;0
6.926482490799;0.003621976782;9.9;0;6.926482490799;18;9.9;0
6.950938389447;0.004102536781999999;10;14640;6.950938389447;33;10;3600
7.013999201721;0.002822536781999999;10.1;10160;7.013999201721;33;10.1;2800
7.099583807093;0.002341976781999999;10.2;6880;7.099583807093;18;10.2;3200
7.156552349626;0.003941976781999999;10.3;10160;7.156552349626;18;10.3;2800
7.194664356167;0.003941976781999999;10.4;4480;7.194664356167;18;10.4;800
7.277162248325;0.003462536781999999;10.5;10160;7.277162248325;33;10.5;2800
7.47084550752;0.004261976782;10.6;17040;7.47084550752;18;10.6;6000
7.477181458628;0.003142536781999999;10.7;14640;7.477181458628;33;10.7;3600
7.535615009367;0.003301976782;10.8;0;7.535615009367;18;10.8;0
7.551291066897;0.002502536781999999;10.9;0;7.551291066897;33;10.9;0
7.563028850356;0.002341976781999999;11;10160;7.563028850356;18;11;2800
7.612615786949;0.002983736782;11.1;14640;7.612615786949;48;11.1;3600
7.699112186393;0.003782536781999999;11.2;0;7.699112186393;33;11.2;0
7.896096043617;0.002661976781999999;11.3;17040;7.896096043617;18;11.3;6000
7.947624708642;0.003621976782;11.4;4480;7.947624708642;18;11.4;800
7.950938389447;0.004102536781999999;11.5;5680;7.950938389447;33;11.5;2000
8.015279201721;0.004102536781999999;11.6;14640;8.015279201721;33;11.6;3600
8.054750630031;0.002661976781999999;11.7;5680;8.054750630031;18;11.7;2000
8.178228100905;0.003621976782;11.8;8960;8.178228100905;18;11.8;1600
8.276842248325;0.003142536781999999;11.9;0;8.276842248325;33;11.9;0
8.29188418642;0.002661976781999999;12;10160;8.29188418642;18;12;2800
8.317228694623;0.003941976781999999;12.1;5680;8.317228694623;18;12.1;2000
