endToEndDelay:vector Sim802154.server.app[0] ($N=9, #0 - Sim802154_app1-4-20230526-09:06:16-10724);;outgoingDataRate:vector Sim802154.gateway.eth[0].queue ($N=9, #0 - Sim802154_app1-4-20230526-09:06:16-10724);;packetReceived:vector(packetBytes) Sim802154.server.udp ($N=9, #0 - Sim802154_app1-4-20230526-09:06:16-10724);;throughput:vector Sim802154.server.app[0] ($N=9, #0 - Sim802154_app1-4-20230526-09:06:16-10724);
0.155828844046;0.003301976782;0.1;0;0.155828844046;18;0.1;0
0.194004778658;0.004422536781999998;0.2;10160;0.194004778658;33;0.2;2800
0.258518675621;0.004263736782;0.3;6880;0.258518675621;48;0.3;3200
0.59060372183;0.004261976782;0.4;0;0.59060372183;18;0.4;0
0.912541810145;0.002341976781999999;0.5;0;0.912541810145;18;0.5;0
0.943241303694;0.004102536781999999;0.6;4480;0.943241303694;33;0.6;800
0.970243302938;0.002661976781999999;0.7;0;0.970243302938;18;0.7;0
1.193684778658;0.004102536781999999;0.8;0;1.193684778658;33;0.8;0
1.201704488578;0.002983736782;0.9;0;1.201704488578;48;0.9;0
1.250185437892;0.002661976781999999;1;14640;1.250185437892;18;1;3600
1.291421992977;0.002021976781999999;1.1;0;1.291421992977;18;1.1;0
1.735838629977;0.003621976782;1.2;5680;1.735838629977;18;1.2;2000
1.776843146416;0.003941976781999999;1.3;15840;1.776843146416;18;1.3;4800
1.939095647419;0.003782536781999999;1.4;0;1.939095647419;33;1.4;0
1.942281303694;0.003142536781999999;1.5;0;1.942281303694;33;1.5;0
1.986828256138;0.002661976781999999;1.6;0;1.986828256138;18;1.6;0
1.996876008043;0.004261976782;1.7;0;1.996876008043;18;1.7;0
2.192404778658;0.002822536781999999;1.8;8960;2.192404778658;33;1.8;1600
2.309041413163;0.002341976781999999;1.9;0;2.309041413163;18;1.9;0
2.312281567422;0.003462536781999999;2;20320;2.312281567422;33;2;5600
2.339150210561;0.004263736782;2.1;0;2.339150210561;48;2.1;0
2.457647950639;0.003941976781999999;2.2;5680;2.457647950639;18;2.2;2000
2.543099429137;0.003941976781999999;2.3;0;2.543099429137;18;2.3;0
2.712184128913;0.004261976782;2.4;17040;2.712184128913;18;2.4;6000
2.863548061885;0.003941976781999999;2.5;4480;2.863548061885;18;2.5;800
2.939415647419;0.004102536781999999;2.6;4480;2.939415647419;33;2.6;800
2.943881303694;0.004742536781999999;2.7;0;2.943881303694;33;2.7;0
3.024794659044;0.004261976782;2.8;4480;3.024794659044;18;2.8;800
3.193044778658;0.003462536781999999;2.9;4480;3.193044778658;33;2.9;800
3.250722896708;0.003941976781999999;3;11360;3.250722896708;18;3;4000
3.312601567422;0.003782536781999999;3.1;4480;3.312601567422;33;3.1;800
3.329016772511;0.002981976781999999;3.2;5680;3.329016772511;18;3.2;2000
3.525226792587;0.002341976781999999;3.3;4480;3.525226792587;18;3.3;800
3.543238421034;0.002981976781999999;3.4;10160;3.543238421034;18;3.4;2800
3.835682869148;0.003941976781999999;3.5;0;3.835682869148;18;3.5;0
3.937815647419;0.002502536781999999;3.6;8960;3.937815647419;33;3.6;1600
3.942921303694;0.003782536781999999;3.7;0;3.942921303694;33;3.7;0
3.985549902093;0.002021976781999999;3.8;0;3.985549902093;18;3.8;0
4.18310110539;0.002021976781999999;3.9;4480;4.18310110539;18;3.9;800
4.194004778658;0.004422536781999998;4;15840;4.194004778658;33;4;4800
4.281851948481;0.003621976782;4.1;0;4.281851948481;18;4.1;0
4.313241567422;0.004422536781999998;4.2;10160;4.313241567422;33;4.2;2800
4.509093997398;0.002981976781999999;4.3;4480;4.509093997398;18;4.3;800
4.753544776159;0.003941976781999999;4.4;5680;4.753544776159;18;4.4;2000
4.937815647419;0.002502536781999999;4.5;0;4.937815647419;33;4.5;0
4.941641303694;0.002502536781999999;4.6;4480;4.941641303694;33;4.6;800
4.963367092373;0.003621976782;4.7;0;4.963367092373;18;4.7;0
5.163239083945;0.003941976781999999;4.8;4480;5.163239083945;18;4.8;800
5.192404778658;0.002822536781999999;4.9;0;5.192404778658;33;4.9;0
5.236683205503;0.003301976782;5;15840;5.236683205503;18;5;4800
5.259158675621;0.004903736782;5.1;0;5.259158675621;48;5.1;0
5.313561567422;0.004742536781999999;5.2;10160;5.313561567422;33;5.2;2800
5.427188170616;0.002661976781999999;5.3;11360;5.427188170616;18;5.3;4000
5.618072258537;0.003621976782;5.4;5680;5.618072258537;18;5.4;2000
5.806350264351;0.004261976782;5.5;4480;5.806350264351;18;5.5;800
5.925567363437;0.002021976781999999;5.6;0;5.925567363437;18;5.6;0
5.939095647419;0.003782536781999999;5.7;4480;5.939095647419;33;5.7;800
5.944697303694;0.005558536781999998;5.8;0;5.944697303694;33;5.8;0
6.01155587306;0.002981976781999999;5.9;4480;6.01155587306;18;5.9;800
6.159472799234;0.002981976781999999;6;15840;6.159472799234;18;6;4800
6.194324778658;0.004742536781999999;6.1;4480;6.194324778658;33;6.1;800
6.202984488578;0.004263736782;6.2;10160;6.202984488578;48;6.2;2800
6.313561567422;0.004742536781999999;6.3;6880;6.313561567422;33;6.3;3200
6.407968205821;0.004261976782;6.4;5680;6.407968205821;18;6.4;2000
6.560511130238;0.003941976781999999;6.5;4480;6.560511130238;18;6.5;800
6.652596681442;0.002981976781999999;6.6;4480;6.652596681442;18;6.6;800
6.902617523808;0.004261976782;6.7;4480;6.902617523808;18;6.7;800
6.940055647419;0.004742536781999999;6.8;0;6.940055647419;33;6.8;0
6.946889303694;0.007750536782;6.9;0;6.946889303694;33;6.9;0
7.117375809319;0.002021976781999999;7;15840;7.117375809319;18;7;4800
7.192084778658;0.002502536781999999;7.1;0;7.192084778658;33;7.1;0
7.2336474107;0.004261976782;7.2;10160;7.2336474107;18;7.2;2800
7.311641567422;0.002822536781999999;7.3;4480;7.311641567422;33;7.3;800
7.337870210561;0.002983736782;7.4;12560;7.337870210561;48;7.4;5200
7.589702366977;0.003621976782;7.5;0;7.589702366977;18;7.5;0
7.695085267717;0.002661976781999999;7.6;4480;7.695085267717;18;7.6;800
7.89658153686;0.002981976781999999;7.7;4480;7.89658153686;18;7.7;800
7.939095647419;0.003782536781999999;7.8;0;7.939095647419;33;7.8;0
7.942921303694;0.003782536781999999;7.9;4480;7.942921303694;33;7.9;800
8.037189228019;0.003301976782;8;11360;8.037189228019;18;8;4000
8.193044778658;0.003462536781999999;8.1;4480;8.193044778658;33;8.1;800
8.281088082589;0.003941976781999999;8.2;5680;8.281088082589;18;8.2;2000
8.313561567422;0.004742536781999999;8.3;4480;8.313561567422;33;8.3;800
8.464437046012;0.003941976781999999;8.4;5680;8.464437046012;18;8.4;2000
8.532262021073;0.002981976781999999;8.5;4480;8.532262021073;18;8.5;800
8.831277585239;0.002341976781999999;8.6;4480;8.831277585239;18;8.6;800
8.937815647419;0.002502536781999999;8.7;0;8.937815647419;33;8.7;0
8.942921303694;0.003782536781999999;8.8;0;8.942921303694;33;8.8;0
8.958428081089;0.003301976782;8.9;4480;8.958428081089;18;8.9;800
9.043936052283;0.003941976781999999;9;15840;9.043936052283;18;9;4800
9.192404778658;0.002822536781999999;9.1;4480;9.192404778658;33;9.1;800
9.311641567422;0.002822536781999999;9.2;5680;9.311641567422;33;9.2;2000
9.320775175229;0.002661976781999999;9.3;0;9.320775175229;18;9.3;0
9.51556903883;0.004261976782;9.4;10160;9.51556903883;18;9.4;2800
9.652857386354;0.002341976781999999;9.5;0;9.652857386354;18;9.5;0
9.755032732641;0.003301976782;9.6;4480;9.755032732641;18;9.6;800
9.939415647419;0.004102536781999999;9.7;4480;9.939415647419;33;9.7;800
9.943881303694;0.004742536781999999;9.8;4480;9.943881303694;33;9.8;800
10.072618217133;0.003621976782;9.9;0;10.072618217133;18;9.9;0
10.102889023916;0.003621976782;10;11360;10.102889023916;18;10;4000
10.192404778658;0.002822536781999999;10.1;4480;10.192404778658;33;10.1;800
10.257558675621;0.003303736782;10.2;10160;10.257558675621;48;10.2;2800
10.311321567422;0.002502536781999999;10.3;6880;10.311321567422;33;10.3;3200
10.394904720034;0.003621976782;10.4;10160;10.394904720034;18;10.4;2800
10.545820158604;0.003301976782;10.5;0;10.545820158604;18;10.5;0
10.648234171369;0.002661976781999999;10.6;4480;10.648234171369;18;10.6;800
10.938135647419;0.002822536781999999;10.7;4480;10.938135647419;33;10.7;800
10.943881303694;0.004742536781999999;10.8;0;10.943881303694;33;10.8;0
10.963406535206;0.002021976781999999;10.9;0;10.963406535206;18;10.9;0
11.147073216469;0.004261976782;11;15840;11.147073216469;18;11;4800
11.192084778658;0.002502536781999999;11.1;0;11.192084778658;33;11.1;0
11.203624488578;0.004903736782;11.2;10160;11.203624488578;48;11.2;2800
11.248456117325;0.003301976782;11.3;11360;11.248456117325;18;11.3;4000
11.311641567422;0.002822536781999999;11.4;10160;11.311641567422;33;11.4;2800
11.372425074646;0.002981976781999999;11.5;0;11.372425074646;18;11.5;0
11.644313642702;0.003941976781999999;11.6;0;11.644313642702;18;11.6;0
11.683285916042;0.003941976781999999;11.7;8960;11.683285916042;18;11.7;1600
11.938135647419;0.002822536781999999;11.8;0;11.938135647419;33;11.8;0
11.942601303694;0.003462536781999999;11.9;0;11.942601303694;33;11.9;0
11.979738410069;0.003621976782;12;15840;11.979738410069;18;12;4800
12.044107318204;0.003301976782;12.1;4480;12.044107318204;18;12.1;800
12.194324778658;0.004742536781999999;12.2;5680;12.194324778658;33;12.2;2000
12.263892160235;0.003621976782;12.3;8960;12.263892160235;18;12.3;1600
12.27082200201;0.003941976781999999;12.4;12560;12.27082200201;18;12.4;5200
12.313561567422;0.004742536781999999;12.5;0;12.313561567422;33;12.5;0
12.338190210561;0.003303736782;12.6;0;12.338190210561;48;12.6;0
12.600018367951;0.004261976782;12.7;4480;12.600018367951;18;12.7;800
12.735441360856;0.003301976782;12.8;4480;12.735441360856;18;12.8;800
12.892748355798;0.002981976781999999;12.9;4480;12.892748355798;18;12.9;800
12.938135647419;0.002822536781999999;13;11360;12.938135647419;33;13;4000
12.941641303694;0.002502536781999999;13.1;8960;12.941641303694;33;13.1;1600
13.036149910094;0.004261976782;13.2;5680;13.036149910094;18;13.2;2000
13.099691063728;0.003941976781999999;13.3;4480;13.099691063728;18;13.3;800
13.194324778658;0.004742536781999999;13.4;5680;13.194324778658;33;13.4;2000
13.243802109516;0.002981976781999999;13.5;4480;13.243802109516;18;13.5;800
13.312601567422;0.003782536781999999;13.6;0;13.312601567422;33;13.6;0
13.41633196367;0.002341976781999999;13.7;4480;13.41633196367;18;13.7;800
13.63136808232;0.003301976782;13.8;4480;13.63136808232;18;13.8;800
13.708642168906;0.003941976781999999;13.9;0;13.708642168906;18;13.9;0
13.939735647419;0.004422536781999998;14;11360;13.939735647419;33;14;4000
13.943881303694;0.004742536781999999;14.1;4480;13.943881303694;33;14.1;800
14.077854359615;0.002341976781999999;14.2;10160;14.077854359615;18;14.2;2800
14.131856701829;0.002981976781999999;14.3;0;14.131856701829;18;14.3;0
14.192724778658;0.003142536781999999;14.4;5680;14.192724778658;33;14.4;2000
14.313561567422;0.004742536781999999;14.5;4480;14.313561567422;33;14.5;800
14.498769952674;0.002021976781999999;14.6;0;14.498769952674;18;14.6;0
14.617047841781;0.003941976781999999;14.7;4480;14.617047841781;18;14.7;800
14.769913735583;0.003941976781999999;14.8;4480;14.769913735583;18;14.8;800
14.90262121987;0.003941976781999999;14.9;0;14.90262121987;18;14.9;0
14.939415647419;0.004102536781999999;15;15840;14.939415647419;33;15;4800
14.943241303694;0.004102536781999999;15.1;4480;14.943241303694;33;15.1;800
15.071361207155;0.003621976782;15.2;5680;15.071361207155;18;15.2;2000
15.193044778658;0.003462536781999999;15.3;11360;15.193044778658;33;15.3;4000
15.229738896732;0.003621976782;15.4;10160;15.229738896732;18;15.4;2800
15.259158675621;0.004903736782;15.5;4480;15.259158675621;48;15.5;800
15.312921567422;0.004102536781999999;15.6;0;15.312921567422;33;15.6;0
15.341776321836;0.003621976782;15.7;4480;15.341776321836;18;15.7;800
15.437359407168;0.003621976782;15.8;0;15.437359407168;18;15.8;0
15.670396765125;0.004261976782;15.9;4480;15.670396765125;18;15.9;800
15.82676204997;0.002341976781999999;16;11360;15.82676204997;18;16;4000
15.938135647419;0.002822536781999999;16.1;8960;15.938135647419;33;16.1;1600
15.942281303694;0.003142536781999999;16.2;5680;15.942281303694;33;16.2;2000
16.048096012001;0.002021976781999999;16.3;6880;16.048096012001;18;16.3;3200
16.089975462063;0.004261976782;16.4;10160;16.089975462063;18;16.4;2800
16.192404778658;0.002822536781999999;16.5;0;16.192404778658;33;16.5;0
