endToEndDelay:vector Sim802154.server.app[0] ($N=5, #0 - Sim802154_app1-0-20230527-16:01:31-1040);;outgoingDataRate:vector Sim802154.gateway.eth[0].queue ($N=5, #0 - Sim802154_app1-0-20230527-16:01:31-1040);;packetReceived:vector(packetBytes) Sim802154.server.udp ($N=5, #0 - Sim802154_app1-0-20230527-16:01:31-1040);;throughput:vector Sim802154.server.app[0] ($N=5, #0 - Sim802154_app1-0-20230527-16:01:31-1040);
0.902342925266;0.003782536781999999;0.1;0;0.902342925266;33;0.1;0
0.981910163175;0.004903736782;0.2;0;0.981910163175;48;0.2;0
1.862106748857;0.002502536781999999;0.3;0;1.862106748857;33;0.3;0
1.882587790985;0.003623736782;0.4;0;1.882587790985;48;0.4;0
1.902982925266;0.004422536781999998;0.5;0;1.902982925266;33;0.5;0
1.957410672666;0.005865336781999999;0.6;0;1.957410672666;68;0.6;0
1.981910163175;0.004903736782;0.7;0;1.981910163175;48;0.7;0
2.455170672666;0.003625336782;0.8;0;2.455170672666;68;0.8;0
2.863706748857;0.004102536781999999;0.9;0;2.863706748857;33;0.9;0
2.883547790985;0.004583736781999999;1;12560;2.883547790985;48;1;5200
2.901382925266;0.002822536781999999;1.1;0;2.901382925266;33;1.1;0
2.956450672666;0.004905336781999999;1.2;0;2.956450672666;68;1.2;0
2.979990163175;0.002983736782;1.3;0;2.979990163175;48;1.3;0
3.456130672666;0.004585336782;1.4;0;3.456130672666;68;1.4;0
3.864026748857;0.004422536781999998;1.5;0;3.864026748857;33;1.5;0
3.884187790985;0.005223736781999999;1.6;0;3.884187790985;48;1.6;0
3.901702925266;0.003142536781999999;1.7;0;3.901702925266;33;1.7;0
3.956130672666;0.004585336782;1.8;0;3.956130672666;68;1.8;0
3.980310163175;0.003303736782;1.9;12560;3.980310163175;48;1.9;5200
4.456130672666;0.004585336782;2;21040;4.456130672666;68;2;10000
4.863066748857;0.003462536781999999;2.1;0;4.863066748857;33;2.1;0
4.883867790985;0.004903736782;2.2;0;4.883867790985;48;2.2;0
4.901062925266;0.002502536781999999;2.3;0;4.901062925266;33;2.3;0
4.955490672666;0.003945336782;2.4;0;4.955490672666;68;2.4;0
4.980310163175;0.003303736782;2.5;8480;4.980310163175;48;2.5;4800
5.457410672666;0.005865336781999999;2.6;0;5.457410672666;68;2.6;0
5.864346748857;0.004742536781999999;2.7;0;5.864346748857;33;2.7;0
5.883227790985;0.004263736782;2.8;0;5.883227790985;48;2.8;0
5.902022925266;0.003462536781999999;2.9;12560;5.902022925266;33;2.9;5200
5.957090672666;0.005545336781999999;3;21040;5.957090672666;68;3;10000
5.980630163175;0.003623736782;3.1;0;5.980630163175;48;3.1;0
6.457410672666;0.005865336781999999;3.2;0;6.457410672666;68;3.2;0
6.862746748857;0.003142536781999999;3.3;0;6.862746748857;33;3.3;0
6.881947790985;0.002983736782;3.4;0;6.881947790985;48;3.4;0
6.902662925266;0.004102536781999999;3.5;8480;6.902662925266;33;3.5;4800
6.956770672666;0.005225336782;3.6;0;6.956770672666;68;3.6;0
6.979990163175;0.002983736782;3.7;0;6.979990163175;48;3.7;0
7.456450672666;0.004905336781999999;3.8;0;7.456450672666;68;3.8;0
7.864346748857;0.004742536781999999;3.9;12560;7.864346748857;33;3.9;5200
7.882267790985;0.003303736782;4;21040;7.882267790985;48;4;10000
7.901702925266;0.003142536781999999;4.1;0;7.901702925266;33;4.1;0
7.957410672666;0.005865336781999999;4.2;0;7.957410672666;68;4.2;0
7.980310163175;0.003303736782;4.3;0;7.980310163175;48;4.3;0
8.455490672666;0.003945336782;4.4;0;8.455490672666;68;4.4;0
8.862426748857;0.002822536781999999;4.5;8480;8.862426748857;33;4.5;4800
8.882907790985;0.003943736781999999;4.6;0;8.882907790985;48;4.6;0
8.903302925266;0.004742536781999999;4.7;0;8.903302925266;33;4.7;0
8.956130672666;0.004585336782;4.8;0;8.956130672666;68;4.8;0
8.980630163175;0.003623736782;4.9;12560;8.980630163175;48;4.9;5200
9.456130672666;0.004585336782;5;21040;9.456130672666;68;5;10000
9.864026748857;0.004422536781999998;5.1;0;9.864026748857;33;5.1;0
9.883547790985;0.004583736781999999;5.2;0;9.883547790985;48;5.2;0
9.901382925266;0.002822536781999999;5.3;0;9.901382925266;33;5.3;0
9.955810672666;0.004265336781999999;5.4;0;9.955810672666;68;5.4;0
9.980950163175;0.003943736781999999;5.5;8480;9.980950163175;48;5.5;4800
10.456450672666;0.004905336781999999;5.6;0;10.456450672666;68;5.6;0
10.863386748857;0.003782536781999999;5.7;0;10.863386748857;33;5.7;0
10.884187790985;0.005223736781999999;5.8;0;10.884187790985;48;5.8;0
10.902022925266;0.003462536781999999;5.9;12560;10.902022925266;33;5.9;5200
10.956450672666;0.004905336781999999;6;21040;10.956450672666;68;6;10000
10.981270163175;0.004263736782;6.1;0;10.981270163175;48;6.1;0
11.455170672666;0.003625336782;6.2;0;11.455170672666;68;6.2;0
11.864346748857;0.004742536781999999;6.3;0;11.864346748857;33;6.3;0
11.882907790985;0.003943736781999999;6.4;0;11.882907790985;48;6.4;0
11.903302925266;0.004742536781999999;6.5;8480;11.903302925266;33;6.5;4800
11.981590163175;0.004583736781999999;6.6;0;11.981590163175;48;6.6;0
12.863706748857;0.004102536781999999;6.7;0;12.863706748857;33;6.7;0
12.882267790985;0.003303736782;6.8;0;12.882267790985;48;6.8;0
12.901382925266;0.002822536781999999;6.9;12560;12.901382925266;33;6.9;5200
12.979990163175;0.002983736782;7;21040;12.979990163175;48;7;10000
13.863706748857;0.004102536781999999;7.1;0;13.863706748857;33;7.1;0
13.881947790985;0.002983736782;7.2;0;13.881947790985;48;7.2;0
13.901702925266;0.003142536781999999;7.3;0;13.901702925266;33;7.3;0
13.980630163175;0.003623736782;7.4;0;13.980630163175;48;7.4;0
14.863706748857;0.004102536781999999;7.5;8480;14.863706748857;33;7.5;4800
14.882587790985;0.003623736782;7.6;0;14.882587790985;48;7.6;0
14.902662925266;0.004102536781999999;7.7;0;14.902662925266;33;7.7;0
