endToEndDelay:vector Sim802154.server.app[0] ($N=12, #0 - Sim802154_app1-7-20230527-16:02:45-4576);;outgoingDataRate:vector Sim802154.gateway.eth[0].queue ($N=12, #0 - Sim802154_app1-7-20230527-16:02:45-4576);;packetReceived:vector(packetBytes) Sim802154.server.udp ($N=12, #0 - Sim802154_app1-7-20230527-16:02:45-4576);;throughput:vector Sim802154.server.app[0] ($N=12, #0 - Sim802154_app1-7-20230527-16:02:45-4576);
0.019663624385;0.003625336782;7.019974454385;-19.71622427520799895;0.019663624385;68;7.019983624385;-9.47402987070809738
0.095323761638;0.004585336782;7.119974454385;23840;0.095323761638;68;7.119983624385;12800
0.261057511466;0.003142536781999999;7.219974454385;0;0.261057511466;33;7.219983624385;0
0.309812224197;0.003462536781999999;7.319974454385;11360;0.309812224197;33;7.319983624385;4000
0.371970309733;0.003782536781999999;7.419974454385;18240;0.371970309733;33;7.419983624385;7200
0.388254728698;0.004102536781999999;7.519974454385;0;0.388254728698;33;7.519983624385;0
0.404714697716;0.002983736782;7.619974454385;31120;0.404714697716;48;7.619983624385;16400
0.521903624385;0.005865336781999999;7.719974454385;0;0.521903624385;68;7.719983624385;0
0.548870702323;0.005225336782;7.819974454385;6880;0.548870702323;68;7.819983624385;3200
0.594363761638;0.003625336782;7.919974454385;5680;0.594363761638;68;7.919983624385;2000
0.612145822505;0.004102536781999999;8.019974454385;0;0.612145822505;33;8.019983624385;0
0.753901830481;0.003623736782;8.119974454385;32320;0.753901830481;48;8.119983624385;17600
1.019663624385;0.003625336782;8.219974454385;0;1.019663624385;68;8.219983624385;0
1.047590702323;0.003945336782;8.319974454385;11360;1.047590702323;68;8.319983624385;4000
1.096283761638;0.005545336781999999;8.419974454385;18240;1.096283761638;68;8.419983624385;7200
1.261697511466;0.003782536781999999;8.519974454385;0;1.261697511466;33;8.519983624385;0
1.309172224197;0.002822536781999999;8.619974454385;31120;1.309172224197;33;8.619983624385;16400
1.371650309733;0.003462536781999999;8.719974454385;0;1.371650309733;33;8.719983624385;0
1.386654728698;0.002502536781999999;8.819974454385;6880;1.386654728698;33;8.819983624385;3200
1.404714697716;0.002983736782;8.919974454385;5680;1.404714697716;48;8.919983624385;2000
1.519983624385;0.003945336782;9.019974454385;8480;1.519983624385;68;9.019983624385;4800
1.547270702323;0.003625336782;9.119974454385;23840;1.547270702323;68;9.119983624385;12800
1.594363761638;0.003625336782;9.219974454385;0;1.594363761638;68;9.219983624385;0
1.612785822505;0.004742536781999999;9.319974454385;11360;1.612785822505;33;9.319983624385;4000
1.754541830481;0.004263736782;9.419974454385;18240;1.754541830481;48;9.419983624385;7200
2.020943624385;0.004905336781999999;9.519974454385;0;2.020943624385;68;9.519983624385;0
2.036267236456;0.005223736781999999;9.619974454385;31120;2.036267236456;48;9.619983624385;16400
2.049510702323;0.005865336781999999;9.719974454385;0;2.049510702323;68;9.719983624385;0
2.095003761638;0.004265336781999999;9.819974454385;6880;2.095003761638;68;9.819983624385;3200
2.261377511466;0.003462536781999999;9.919974454385;5680;2.261377511466;33;9.919983624385;2000
2.310452224197;0.004102536781999999;10.019974454385;0;2.310452224197;33;10.019983624385;0
2.372930309733;0.004742536781999999;10.119974454385;15360;2.372930309733;33;10.119983624385;8000
2.388894728698;0.004742536781999999;10.219974454385;0;2.388894728698;33;10.219983624385;0
2.406314697716;0.004583736781999999;10.319974454385;11360;2.406314697716;48;10.319983624385;4000
2.520943624385;0.004905336781999999;10.419974454385;18240;2.520943624385;68;10.419983624385;7200
2.548230702323;0.004585336782;10.519974454385;0;2.548230702323;68;10.519983624385;0
2.594683761638;0.003945336782;10.619974454385;5680;2.594683761638;68;10.619983624385;2000
2.611505822505;0.003462536781999999;10.719974454385;0;2.611505822505;33;10.719983624385;0
2.753581830481;0.003303736782;10.819974454385;6880;2.753581830481;48;10.819983624385;3200
3.020623624385;0.004585336782;10.919974454385;5680;3.020623624385;68;10.919983624385;2000
3.035307236456;0.004263736782;11.019974454385;0;3.035307236456;48;11.019983624385;0
3.048230702323;0.004585336782;11.119974454385;6880;3.048230702323;68;11.119983624385;3200
3.094683761638;0.003945336782;11.219974454385;0;3.094683761638;68;11.219983624385;0
3.262337511466;0.004422536781999998;11.319974454385;11360;3.262337511466;33;11.319983624385;4000
3.310452224197;0.004102536781999999;11.419974454385;18240;3.310452224197;33;11.419983624385;7200
3.372290309733;0.004102536781999999;11.519974454385;0;3.372290309733;33;11.519983624385;0
3.388894728698;0.004742536781999999;11.619974454385;5680;3.388894728698;33;11.619983624385;2000
3.405354697716;0.003623736782;11.719974454385;0;3.405354697716;48;11.719983624385;0
3.520623624385;0.004585336782;11.819974454385;6880;3.520623624385;68;11.819983624385;3200
3.547910702323;0.004265336781999999;11.919974454385;5680;3.547910702323;68;11.919983624385;2000
3.595003761638;0.004265336781999999;12.019974454385;0;3.595003761638;68;12.019983624385;0
3.612785822505;0.004742536781999999;12.119974454385;6880;3.612785822505;33;12.119983624385;3200
3.754221830481;0.003943736781999999;12.219974454385;0;3.754221830481;48;12.219983624385;0
3.831638678273;0.004742536781999999;12.319974454385;11360;3.831638678273;33;12.319983624385;4000
4.019663624385;0.003625336782;12.419974454385;18240;4.019663624385;68;12.419983624385;7200
4.035627236456;0.004583736781999999;12.519974454385;0;4.035627236456;48;12.519983624385;0
4.048230702323;0.004585336782;12.619974454385;5680;4.048230702323;68;12.619983624385;2000
4.094683761638;0.003945336782;12.719974454385;0;4.094683761638;68;12.719983624385;0
