endToEndDelay:vector Sim802154.server.app[0] ($N=7, #0 - Sim802154_app1-2-20230527-16:01:49-1040);;outgoingDataRate:vector Sim802154.gateway.eth[0].queue ($N=7, #0 - Sim802154_app1-2-20230527-16:01:49-1040);;packetReceived:vector(packetBytes) Sim802154.server.udp ($N=7, #0 - Sim802154_app1-2-20230527-16:01:49-1040);;throughput:vector Sim802154.server.app[0] ($N=7, #0 - Sim802154_app1-2-20230527-16:01:49-1040);
0.172964127972;0.005223736781999999;12.956080539459;-19.79345711793699531;0.172964127972;48;12.956086909459;-9.53431316388149948
0.207810421058;0.003142536781999999;13.056080539459;0;0.207810421058;33;13.056086909459;0
0.391357005804;0.004905336781999999;13.156080539459;0;0.391357005804;68;13.156086909459;0
0.66800664192;0.004905336781999999;13.256080539459;19440;0.66800664192;68;13.256086909459;8400
0.891357005804;0.004905336781999999;13.356080539459;0;0.891357005804;68;13.356086909459;0
1.16832664192;0.005225336782;13.456080539459;0;1.16832664192;68;13.456086909459;0
1.173732127972;0.005991736781999998;13.556080539459;0;1.173732127972;48;13.556086909459;0
1.203812673355;0.003623736782;13.656080539459;0;1.203812673355;48;13.656086909459;0
1.208130421058;0.003462536781999999;13.756080539459;5680;1.208130421058;33;13.756086909459;2000
1.392317005804;0.005865336781999999;13.856080539459;0;1.392317005804;68;13.856086909459;0
1.66864664192;0.005545336781999999;13.956080539459;5680;1.66864664192;68;13.956086909459;2000
1.890717005804;0.004265336781999999;14.056080539459;0;1.890717005804;68;14.056086909459;0
2.16704664192;0.003945336782;14.156080539459;0;2.16704664192;68;14.156086909459;0
2.172004127972;0.004263736782;14.256080539459;19440;2.172004127972;48;14.256086909459;8400
2.204132673355;0.003943736781999999;14.356080539459;0;2.204132673355;48;14.356086909459;0
2.207170421058;0.002502536781999999;14.456080539459;0;2.207170421058;33;14.456086909459;0
2.391357005804;0.004905336781999999;14.556080539459;0;2.391357005804;68;14.556086909459;0
2.66864664192;0.005545336781999999;14.656080539459;0;2.66864664192;68;14.656086909459;0
2.686260797238;0.004742536781999999;14.756080539459;5680;2.686260797238;33;14.756086909459;2000
2.891037005804;0.004585336782;14.856080539459;0;2.891037005804;68;14.856086909459;0
2.956086909459;0.004742536781999999;14.956080539459;5680;2.956086909459;33;14.956086909459;2000
3.16736664192;0.004265336781999999;15.056080539459;0;3.16736664192;68;15.056086909459;0
3.172004127972;0.004263736782;15.156080539459;0;3.172004127972;48;15.156086909459;0
3.204452673355;0.004263736782;15.256080539459;19440;3.204452673355;48;15.256086909459;8400
3.208450421058;0.003782536781999999;15.356080539459;0;3.208450421058;33;15.356086909459;0
3.390717005804;0.004265336781999999;15.456080539459;0;3.390717005804;68;15.456086909459;0
3.66896664192;0.005865336781999999;15.556080539459;0;3.66896664192;68;15.556086909459;0
3.684340797238;0.002822536781999999;15.656080539459;0;3.684340797238;33;15.656086909459;0
3.892317005804;0.005865336781999999;15.756080539459;5680;3.892317005804;68;15.756086909459;2000
