run;type;module;name;attrname;attrvalue;value
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;configname;SlotDurationXMAC_short;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;datetime;20230507-17:16:22;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;datetimef;20230507-171622;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;experiment;SlotDurationXMAC_short;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;inifile;omnetpp.ini;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;iterationvars;$N=40, $gSlotDuration=0.25, $sSlotDuration=2.5*0.25;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;iterationvarsd;N=40/gSlotDuration=0.25/sSlotDuration=2.5#2a0.25;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;iterationvarsf;N=40,gSlotDuration=0.25,sSlotDuration=2.5#2a0.25-;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;measurement;$N=40, $gSlotDuration=0.25, $sSlotDuration=2.5*0.25;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;network;SimMAC;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;processid;17680;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;repetition;0;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;replication;#0;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;resultdir;results/SlotDurationXMAC/short;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;runnumber;234;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;runattr;;;seedset;234;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;itervar;;;N;40;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;itervar;;;gSlotDuration;0.25;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;itervar;;;sSlotDuration;2.5*0.25;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;result-dir;results/SlotDurationXMAC/short;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorsTotalNumber;40;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.vector-recording;false;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.wlan[*].mac.typename;XMac;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.wlan[*].mac.headerLength;80b;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.gateway.wlan[*].mac.slotDuration;0.25s;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensor*.wlan[*].mac.slotDuration;2.5*0.25s;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;network;SimMAC;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.distFromSensorToSink;50m;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.distFromServerToSink;30m;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;sim-time-limit;100s;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.enableVisualisation;false;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.vector-recording;false;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.scalar-recording;false;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.param-recording;false;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.arp.typename;GlobalArp;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.netmaskRoutes;"""""";
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.gateway.forwarding;true;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.maxTransmissionDuration;100ms;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.configurator.addStaticRoutes;false;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.mobility.constraintAreaMaxY;400m;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.mobility.constraintAreaMinY;0m;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.mobility.constraintAreaMaxZ;0m;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.mobility.constraintAreaMinZ;0m;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.mobility.initFromDisplayString;false;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.radio.centerFrequency;2.45GHz;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.radio.bandwidth;2.8MHz;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.radio.transmitter.bitrate;19200 bps;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.radio.transmitter.headerLength;8b;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.radio.transmitter.preambleDuration;0.0001s;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.radio.transmitter.power;2.24mW;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.radio.receiver.energyDetection;-90dBm;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.radio.receiver.sensitivity;-100dBm;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;**.radio.receiver.snirThreshold;-8dB;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.radioMedium.backgroundNoise.power;-110dBm;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.visualizer.*.routingTableVisualizer.displayRoutingTables;false;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.visualizer.*.routingTableVisualizer.displayRoutesIndividually;false;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.visualizer.*.routingTableVisualizer.lineShift;0;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.visualizer.*.routingTableVisualizer.displayLabels;false;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.visualizer.*.infoVisualizer.modules;"""*.server.app[0]""";
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.visualizer.*.infoVisualizer.format;"""%t""";
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorType1*.numApps;1;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorType1*.app[*].typename;UdpBasicApp;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorType1*.app[*].destAddresses;"""server""";
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorType1*.app[*].destPort;1000;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorType1*.app[*].sendInterval;1s;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorType1*.app[*].startTime;exponential(1s);
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorType1*.app[*].messageLength;25Byte;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorType1*.app[*].packetName;"""Type1SensorData""";
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorType2*.numApps;1;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorType2*.app[*].typename;UdpBasicApp;
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorType2*.app[*].destAddresses;"""server""";
SlotDurationXMAC_short-234-20230507-17:16:22-17680;config;;;*.sensorType2*.app[*].destPort;1000;
